"model","eco_fuel","energySource","engine_type","typePrivate"
"Mercedes-Benz E-Class Saloon, Model Year 2014",0,"Diesel","E 220 CDI with 17' rear wheels ECO Start/Stop","Car"
"Mercedes-Benz G-Class Model Year 2012",0,"Petrol","G 350 BLUETEC with 16 inch & 18 inch rear wheels","Car"
"Mercedes-Benz G-Class, Model Year 2011",0,"Petrol","G 350 BLUETEC with 16' & 18' rear wheels","Car"
"Mercedes-Benz G-Class, Model Year 2012",0,"Petrol","G 350 BLUETEC with 16' & 18' rear wheels","Car"
"Mercedes-Benz G-Class, Model Year 2013",0,"Diesel","G 350 BLUETEC with 16' & 18' rear wheels","Car"
"Mercedes-Benz GL-Class (164) Model Year 2009",0,"Diesel","GL320 CDI 4MATIC no DPF 265/275 Tyres on 18''/19' Wheels at rear","Car"
"Mercedes-Benz GL-Class (X164) Estate",0,"Diesel","GL320 CDI 4MATIC no DPF 265/275 Tyres on 18'/19' wheels at rear","Car"
"Mercedes-Benz GL-Class Model Year 2010",0,"Diesel","GL 350 CDI  BlueEFFICIENCY 4MATIC with 265/60 18' or 275/55 19' rear wheels","Car"
"Mercedes-Benz GL-Class Model Year 2012",0,"Diesel","GL 350 CDI 4MATIC with 19 inch rear wheels","Car"
"Mercedes-Benz GL-Class Model Year 2013",0,"Diesel","GL 350 BLUETEC 4MATIC with 21' rear wheels","Car"
"Mercedes-Benz GL-Class, Model Year 2011",0,"Petrol","GL 350 CDI 4MATIC with 19' rear wheels","Car"
"Mercedes-Benz M-Class (W163)",0,"Petrol","ML 270 CDI Estate","Car"
"Mercedes-Benz M-Class (W163) Estate",0,"Petrol","ML 270 CDI","Car"
"Mercedes-Benz M-Class (W164) Estate",0,"Diesel","ML 63 AMG 295 Tyres at rear","Car"
"Mercedes-Benz M-Class Model Year 2012",0,"Diesel","ML 250 BLUETEC 4MATIC with 18 inch/19 inch rear wheels","Car"
"Mercedes-Benz M-Class Model Year 2013",0,"Diesel","ML 250 BLUETEC 4MATIC with 17' rear wheels","Car"
"Mercedes-Benz M-Class, Model Year 2011",0,"Diesel","ML 300 CDI 4MATIC with 18' rear wheels","Car"
"Mercedes-Benz M-Class, Model Year 2013",0,"Petrol","ML 63 AMG with 20' rear wheels","Car"
"Mercedes-Benz ML-Class (164) Model Year 2009",0,"Diesel","ML 500 4MATIC 255/265/285 Tyres at rear","Car"
"Mercedes-Benz ML-Class Model Year 2010",0,"Diesel","ML 300 CDI BlueEFFICIENCY 4MATIC with 235/65 17' rear wheels","Car"
"Mercedes-Benz Maybach",0,"Petrol","S & LWB","Car"
"Mercedes-Benz New C-Class (CL203) Sports Coupé",0,"Petrol","C 200 Kompressor","Car"
"Mercedes-Benz New C-Class (S203) Estate",0,"Petrol","C 200 Kompressor","Car"
"Mercedes-Benz New C-Class (W 203)",0,"Petrol","C 220 CDI Saloon","Car"
"Mercedes-Benz New C-Class (W203) Saloon",0,"Petrol","C 240","Car"
"Mercedes-Benz R Class, Model Year 2011",0,"Diesel","R 300 CDI with 17' rear wheels","Car"
"Mercedes-Benz R-Class (251)",0,"Petrol","R63 AMG 265 Tyres at rear","Car"
"Mercedes-Benz R-Class (251) Model Year 2009",0,"Petrol","R63 AMG 265 Tyres at rear","Car"
"Mercedes-Benz R-Class Model Year 2010",0,"Diesel","R 300 CDI  BlueEFFICIENCY with 235/65 17' rear wheels","Car"
"Mercedes-Benz R-Class Model Year 2012",0,"Diesel","R 300 CDI with 17 inch 18 inch & 19 inch rear wheels","Car"
"Mercedes-Benz R-Class, Model Year 2013",0,"Diesel","R 300 CDI with 17' rear wheels","Car"
"Mercedes-Benz S Class (V220) Pullman",0,"Petrol","S500","Car"
"Mercedes-Benz S-Class (221) Limousine Model Year 2009",0,"Petrol","S320 L CDI 235 Tyres at rear","Car"
"Mercedes-Benz S-Class (221) Model Year 2009",0,"Petrol","S350 235 Tyres at rear","Car"
"Mercedes-Benz S-Class (V220)",0,"Petrol","S 320 Limousine","Car"
"Mercedes-Benz S-Class (V220) Limousine",0,"Petrol","S 430","Car"
"Mercedes-Benz S-Class (V221) Limousine",0,"Petrol","S320 L CDI 235 Tyres at rear","Car"
"Mercedes-Benz S-Class (W220)",0,"Petrol","S 280 Saloon","Car"
"Mercedes-Benz S-Class (W220) Saloon",0,"Petrol","S 430","Car"
"Mercedes-Benz S-Class (W221) Saloon",0,"Petrol","S350 235 Tyres at rear","Car"
"Mercedes-Benz S-Class L Model Year 2010",0,"Petrol","S 350 with 235/55 17' or 255/45 18' rear wheels","Car"
"Mercedes-Benz S-Class Limousine Model Year 2012",0,"Petrol","S 350 BLUETEC with 17 inch/18 inch rear wheels","Car"
"Mercedes-Benz S-Class Limousine Model Year 2013",0,"Diesel","S 350 BLUETEC with 17' and 18' rear wheels","Car"
"Mercedes-Benz S-Class Limousine, Model Year 2011",0,"Petrol","S 350 BLUETEC with 19' & 20' rear wheels","Car"
"Mercedes-Benz S-Class Limousine, Model Year 2012",0,"Petrol","S 600 with 19' & 20' rear wheels","Car"
"Mercedes-Benz S-Class Limousine, Model Year 2013",0,"Petrol","S 350 with 17' & 18' rear wheels ECO Start/Stop","Car"
"Mercedes-Benz S-Class Model Year 2010",0,"Petrol","S 350 with 235/55 17' or 255/45 18' rear wheels","Car"
"Mercedes-Benz S-Class Model Year 2012",0,"Petrol","S 350 BLUETEC with 17 inch/18 inch rear wheels","Car"
"Mercedes-Benz S-Class Model Year 2013",0,"Diesel","S 350 BLUETEC with 17' and 18' rear wheels","Car"
"Mercedes-Benz S-Class, Model Year 2011",0,"Petrol","S 350 BLUETEC with 17' & 18' rear wheels","Car"
"Mercedes-Benz S-Class, Model Year 2013",0,"Petrol","S 350 with 17' & 18' rear wheels ECO Start/Stop","Car"
"Mercedes-Benz SL-Class (230) Model Year 2009",0,"Petrol","SL 600","Car"
"Mercedes-Benz SL-Class (R129)",0,"Petrol","SL 280 Coupé/Roadster","Car"
"Mercedes-Benz SL-Class (R129) Coupé/Roadster",0,"Petrol","SL 280","Car"
"Mercedes-Benz SL-Class (R230)",0,"Petrol","SL350","Car"
"Mercedes-Benz SL-Class (R230) MY09",0,"Petrol","SL350","Car"
"Mercedes-Benz SL-Class Model Year 2010",0,"Petrol","SL 63 AMG with 285/30 19' rear wheels","Car"
"Mercedes-Benz SL-Class Model Year 2012",0,"Petrol","SL 63 AMG with 19 inch rear wheels","Car"
"Mercedes-Benz SL-Class, Model Year 2011",0,"Petrol","SL 300 with 17', 18' & 19' rear wheels","Car"
"Mercedes-Benz SL-Class, Model Year 2013",0,"Petrol","SL 350 with 18' rear wheels ECO Start/Stop","Car"
"Mercedes-Benz SL-Class, Model Year 2014",0,"Petrol","SL 350 with 19' rear wheels ECO Start/Stop","Car"
"Mercedes-Benz SLK-Class (171) Model Year 2009",0,"Petrol","SLK 200 Kompressor 225 Tyres at rear","Car"
"Mercedes-Benz SLK-Class (R170)",0,"Petrol","SLK 200 Kompressor Coupé/Roadster","Car"
"Mercedes-Benz SLK-Class (R170) Coupé/Roadster",0,"Petrol","SLK 200 Kompressor","Car"
"Mercedes-Benz SLK-Class (R171)",0,"Petrol","200 (225 Tyres)","Car"
"Mercedes-Benz SLK-Class (R171) MY09",0,"Petrol","SLK 200 Kompressor 225 Tyres at rear","Car"
"Mercedes-Benz SLK-Class Model Year 2010",0,"Petrol","SLK 200 KOMPRESSOR with 205/55 16' rear wheels","Car"
"Mercedes-Benz SLK-Class Model Year 2012",0,"Petrol","SLK 200 with 17 inch & 18 inch rear wheels ECO Start/Stop","Car"
"Mercedes-Benz SLK-Class, Model Year 2011",0,"Petrol","SLK 200 KOMPRESSOR with 16' rear wheels","Car"
"Mercedes-Benz SLK-Class, Model Year 2012",0,"Petrol","SLK 200 with 17' & 18' rear wheels ECO Start/Stop","Car"
"Mercedes-Benz SLK-Class, Model Year 2013",0,"Petrol","SLK 200 with 17' & 18' rear wheels ECO Start/Stop","Car"
"Mercedes-Benz SLK-Class, Model Year 2014",0,"Petrol","SLK 200 with 17' & 18' rear wheels ECO Start/Stop","Car"
"Mercedes-Benz SLR",0,"Petrol","Coupé","Car"
"Mercedes-Benz SLS AMG Model Year 2012",0,"Petrol","SLS AMG with 20 inch rear wheels","Car"
"Mercedes-Benz SLS AMG, Model Year 2011",0,"Petrol","SLS AMG with 20' rear wheels","Car"
"Mercedes-Benz SLS AMG, Model Year 2013",0,"Petrol","SLS AMG with 20' rear wheels","Car"
"Mercedes-Benz SLS Coupé Model Year 2010",0,"Petrol","SLS AMG","Car"
"Mercedes-Benz V-Class (W638)",0,"Petrol","V 220 CDI  Estate","Car"
"Mercedes-Benz V-Class (W638) Estate",0,"Petrol","V220 CDI Ambiente Estate","Car"
"Mercedes-Benz Vaneo",0,"Petrol","1.6 Ambiente","Car"
"Mercedes-Benz Viano",0,"Diesel","2.2 LWB","Car"
"Mercedes-Benz Viano (639)",0,"Petrol","2.2 LWB","Car"
"Mercedes-Benz Viano (639) Model Year 2009",0,"Diesel","Viano 2.0 CDI no DPF","Car"
"Mercedes-Benz Viano Model Year 2011",0,"Diesel","Viano 2.0 CDI Trend Compact EU5","Car"
"Mercedes-Benz Viano, Model Year 2011",0,"Diesel","Viano 2.0 CDI Trend Compact EU5","Car"
"Mercedes-Benz Vito Model Year 2011",0,"Diesel","113CDI Traveliner Long EU5 BlueEFFICIENCY","Car"
"Mercedes-Benz Vito, Model Year 2011",0,"Diesel","113CDI Traveliner Long EU5 BlueEFFICIENCY","Car"
"Metrocab TAXI TTT",0,"Diesel","2.4 Turbo","Car"
"Metrocab Taxi - Series III",0,"Diesel","2.5 DI Taxi","Car"
"Metrocab Taxi TTT",0,"Diesel","2.4 Turbo","Car"
"Micro Compact Car MCC Smart Cabrio",0,"Petrol","Smart Cabrio and Passion Hatchback","Car"
"Micro Compact Car MCC Smart Cabrio Hatchback",0,"Petrol","Smart Cabrio and Passion","Car"
"Micro Compact Car MCC Smart Cabrio Hatchback (03MY)",0,"Petrol","Smart Cabrio and Passion","Car"
"Micro Compact Car MCC Smart City Coupe",0,"Petrol","Smart and Passion Hatchback","Car"
"Micro Compact Car MCC Smart City Coupe Hatchback",0,"Petrol","Smart and Passion","Car"
"Micro Compact Car MCC Smart City Coupe Hatchback (03MY)",0,"Petrol","Smart and Passion","Car"
"Micro Compact Car MCC Smart City Coupé Hatchback",0,"Petrol","Smart and Passion","Car"
"Micro Compact Car SMART",0,"Petrol","Roadster 45kW 205 rear tyres","Car"
"Mini MINI Clubman R55",0,"Petrol","MINI Cooper Clubman","Car"
"Mini MINI Convertible R52",0,"Petrol","MINI Cooper Convertible","Car"
"Mini MINI Convertible R57",0,"Petrol","MINI Cooper Convertible","Car"
"Mini MINI Countryman R60 From September 2010",0,"Petrol","MINI Cooper Countryman","Car"
"Mini MINI Countryman R60, From September 2010",0,"Diesel","MINI Cooper S ALL4 Countryman","Car"
"Mini MINI Coupé R58 From October 2011",0,"Petrol","MINI Cooper Coupé","Car"
"Mini MINI Coupé R58, From October 2011",0,"Petrol","MINI Cooper S Coupé","Car"
"Mini MINI Hatchback R56",0,"Petrol","MINI Cooper Hatchback","Car"
"Mini MINI Paceman R61 From November 2012",0,"Petrol","MINI Cooper Paceman","Car"
"Mini MINI Paceman R61, From November 2012",0,"Diesel","MINI Cooper D ALL4 Paceman","Car"
"Mini MINI R50",0,"Petrol","MINI COOPER","Car"
"Mini MINI R50 / R53",0,"Petrol","MINI COOPER","Car"
"Mini MINI R52",0,"Petrol","MINI Cooper Convertible","Car"
"Mini MINI R56",0,"Petrol","MINI Cooper Hatchback","Car"
"Mini MINI Roadster R59 From April 2012",0,"Petrol","MINI Cooper Roadster","Car"
"Mini MINI Roadster R59, From April 2012",0,"Petrol","MINI Cooper SD Roadster","Car"
"Mitsubishi 3000GT",0,"Petrol","3000GT","Car"
"Mitsubishi ASX",0,"Diesel","ASX2 1.6 2WD","Car"
"Mitsubishi Carisma",0,"Petrol","1.6 EQUIPPE","Car"
"Mitsubishi Carisma Saloon/Hatchback",0,"Petrol","1.6 Equippe","Car"
"Mitsubishi Colt",0,"Petrol","1.5 AMT","Car"
"Mitsubishi Colt 3 Door",0,"Petrol","CZ2","Car"
"Mitsubishi Colt 5 Door",0,"Petrol","CZ2","Car"
"Mitsubishi Colt CZT",0,"Petrol","1.5","Car"
"Mitsubishi Colt Ralliart",0,"Petrol","1.5 Manual","Car"
"Mitsubishi Colt Space Star",0,"Petrol","1.6 EQUIPPE","Car"
"Mitsubishi Galant - Estate",0,"Petrol","2.4 GDI EQUIPPE","Car"
"Mitsubishi Galant - Saloon",0,"Petrol","2.0 CLASSIC","Car"
"Mitsubishi Grandis",0,"Petrol","2.4 Mivec","Car"
"Mitsubishi Lancer Estate",0,"Petrol","1.6","Car"
"Mitsubishi Lancer Evolution 8",0,"Petrol","260","Car"
"Mitsubishi Lancer Ralliart Model Year 2009",0,"Petrol","GS","Car"
"Mitsubishi Lancer Ralliart, Model Year 2009",0,"Petrol","GS","Car"
"Mitsubishi Lancer Saloon",0,"Petrol","1.6","Car"
"Mitsubishi Lancer Saloon 2008MY on",0,"Petrol","GS3","Car"
"Mitsubishi Lancer Saloon Model Year 2008 on",0,"Petrol","GS3","Car"
"Mitsubishi Lancer Saloon, Model Year 2008 on",0,"Petrol","GS3","Car"
"Mitsubishi Lancer Sportback Model Year 2009 on",0,"Petrol","GS3","Car"
"Mitsubishi Lancer Sportback, Model Year 2009 on",0,"Petrol","GS3","Car"
"Mitsubishi Mirage, 2013",0,"Petrol","GJ3","Car"
"Mitsubishi Outlander",0,"Diesel","Elegance","Car"
"Mitsubishi Outlander RE, 2013",0,"Diesel","GX4","Car"
"Mitsubishi Shogun",0,"Diesel","3.2 LWB","Car"
"Mitsubishi Shogun  03",0,"Diesel","3.2 FIELD LWB","Car"
"Mitsubishi Shogun 2002",0,"Diesel","3.2 CLASSIC LWB","Car"
"Mitsubishi Shogun 2007MY on",0,"Diesel","Elegance SWB","Car"
"Mitsubishi Shogun LWB",0,"Diesel","SG2","Car"
"Mitsubishi Shogun Pinin",0,"Petrol","2.0 GDI ELEGANCE LWB","Car"
"Mitsubishi Shogun SWB",0,"Diesel","Equippe SWB","Car"
"Mitsubishi Shogun Sport",0,"Petrol","3.0 V6","Car"
"Mitsubishi Shogun, Model Year 2007 on",0,"Diesel","Equippe LWB","Car"
"Mitsubishi Shogun, Model Year 2011",0,"Diesel","Equippe LWB","Car"
"Mitsubishi Space Star",0,"Petrol","1.6","Car"
"Mitsubishi Space Wagon",0,"Petrol","2.4 GDI EQUIPPE","Car"
"Mitsubishi i",0,"Petrol","0.7 mivec turbo i automatic","Car"
"Mitsubishi i-MiEV",0,"Electricity","i-MiEV","Car"
"Morgan Motor Company 1600 From January 2011 onwards",0,"Petrol","4 | 4","Car"
"Morgan Motor Company 1600, From January 2011 onwards",0,"Petrol","44","Car"
"Morgan Motor Company 2000 From January 2011 onwards",0,"Petrol","Plus 4","Car"
"Morgan Motor Company 2000, From January 2011 onwards",0,"Petrol","Plus 4","Car"
"Morgan Motor Company 3000 From April 2012 onwards",0,"Petrol","Roadster","Car"
"Morgan Motor Company 3000, From April 2012 onwards",0,"Petrol","Roadster","Car"
"Morgan Motor Company 4/4",0,"Petrol","4/4","Car"
"Morgan Motor Company 4/4 1800",0,"Petrol","04-Apr","Car"
"Morgan Motor Company 4/4 2000",0,"Petrol","Plus 4","Car"
"Morgan Motor Company 4/4 3000",0,"Petrol","Roadster","Car"
"Morgan Motor Company Aero 8",0,"Petrol","Aero 8","Car"
"Morgan Motor Company Aero 8 Automatic",0,"Petrol","Aero 8 Automatic","Car"
"Morgan Motor Company Aero 8 From January 2012 onwards",0,"Petrol","Plus 8","Car"
"Morgan Motor Company Aero 8 Manual",0,"Petrol","Aero 8 Manual","Car"
"Morgan Motor Company Aero 8, From January 2012 onwards",0,"Petrol","Plus 8","Car"
"Morgan Motor Company Morgan",0,"Petrol","4/4","Car"
"Morgan Motor Company Plus 4 2000",0,"Petrol","Plus 4 2000","Car"
"Morgan Motor Company Plus 8",0,"Petrol","Plus 8","Car"
"Morgan Motor Company Roadster 3000",0,"Petrol","Roadster 3000","Car"
"Nissan 200SX - S14 Series",0,"Petrol","2.0 Turbo Coupé","Car"
"Nissan 350Z",0,"Petrol","Convertible","Car"
"Nissan 370Z",0,"Petrol","3.7 V6 Coupé","Car"
"Nissan Almera",0,"Petrol","1.8 3/5 door","Car"
"Nissan Almera - N16 Series",0,"Petrol","1.5 3, 5 door  E, S, SE","Car"
"Nissan Almera Tino",0,"Petrol","1.8","Car"
"Nissan Almera Tino (2003)",0,"Petrol","1.8","Car"
"Nissan Almera Tino V10 Series",0,"Petrol","2.0","Car"
"Nissan Cube",0,"Petrol","1.6","Car"
"Nissan Cube Model Year 2010",0,"Petrol","1.6","Car"
"Nissan Cube, Model Year 2010",0,"Petrol","1.6","Car"
"Nissan GTR",0,"Petrol","Coupé","Car"
"Nissan GTR , 2012",0,"Petrol","GT-R","Car"
"Nissan GTR Model Year 2010",0,"Petrol","Coupé","Car"
"Nissan GTR Model Year 2011",0,"Petrol","Coupé","Car"
"Nissan GTR, 2010",0,"Petrol","2 Door Coupé","Car"
"Nissan GTR, 2011",0,"Petrol","2 Door Coupé","Car"
"Nissan GTR, Model Year 2010",0,"Petrol","2 Door Coupé","Car"
"Nissan GTR, Model Year 2011",0,"Petrol","Coupé","Car"
"Nissan Juke Model Year 2011",0,"Petrol","1.6 2WD","Car"
"Nissan Juke, 2010",0,"Petrol","1.6","Car"
"Nissan Juke, Model Year 2011",0,"Petrol","1.6 2WD","Car"
"Nissan Leaf",0,"Electricity","Leaf","Car"
"Nissan Maxima QX",0,"Petrol","2.0 V6","Car"
"Nissan Maxima QX A33 Series",0,"Petrol","2.0 V6 Saloon","Car"
"Nissan Micra",0,"Petrol","1.2","Car"
"Nissan Micra (2003 model)",0,"Petrol","1.5 3/5 door (65 PS)","Car"
"Nissan Micra - K11 Series",0,"Petrol","1.0 Hatchback","Car"
"Nissan Micra, Model Year 2010",0,"Petrol","1.2","Car"
"Nissan Murano",0,"Petrol","3.5 V6","Car"
"Nissan NV 200 COMBI, 2010",0,"Diesel","1.5 63kw","Car"
"Nissan NV200 Combi",0,"Diesel","1.5 63kW","Car"
"Nissan NV200 Model Year 2011",0,"Diesel","1.5","Car"
"Nissan NV200, 2011",0,"Petrol","1.5","Car"
"Nissan NV200, Model Year 2011",0,"Diesel","1.5","Car"
"Nissan New Murano",0,"Petrol","3.5 V6","Car"
"Nissan Note",0,"Petrol","1.6","Car"
"Nissan Note Model Year 2010",0,"Petrol","1.6","Car"
"Nissan Note Model Year 2011",0,"Petrol","1.6","Car"
"Nissan Note, Model Year 2011",0,"Petrol","1.6","Car"
"Nissan Pathfinder",0,"Diesel","2.5 dCi 4x4","Car"
"Nissan Pathfinder 2012",0,"Diesel","2.5 dCi 190ps","Car"
"Nissan Pathfinder, 2012",0,"Diesel","2.5 dCi 190ps","Car"
"Nissan Patrol",0,"Diesel","3.0 TDI 5 door","Car"
"Nissan Patrol GR - Y61 Series",0,"Diesel","3.0 TDI 5 door","Car"
"Nissan Pixo",0,"Petrol","1.0","Car"
"Nissan Primastar",0,"Diesel","2.0 dCi SWB/LWB","Car"
"Nissan Primera",0,"Petrol","1.8 Estate","Car"
"Nissan Primera - P11 Series",0,"Petrol","1.8 Estate","Car"
"Nissan Primera - P12 Series",0,"Petrol","1.8 Estate","Car"
"Nissan Qashqai",0,"Petrol","2.0 4WD","Car"
"Nissan Qashqai + 2",0,"Diesel","2.0 dCi 4X4","Car"
"Nissan Qashqai +2",0,"Petrol","2.0 4x4","Car"
"Nissan Qashqai +2 Model Year 2011",0,"Diesel","1.6","Car"
"Nissan Qashqai +2, Model Year 2011",0,"Diesel","1.6","Car"
"Nissan Qashqai , Model Year 2011",0,"Petrol","1.6","Car"
"Nissan Qashqai Model Year 2011",0,"Petrol","1.6","Car"
"Nissan Qashqai+2",0,"Diesel","2.0 dCi 4x4","Car"
"Nissan Qashqai, Model Year 2011",0,"Petrol","2.0 dCi 4WD","Car"
"Nissan Serena - C23 Series",0,"Petrol","2.3 Diesel 5 door","Car"
"Nissan Terrano II",0,"Diesel","3.0 Turbo Diesel 5 door","Car"
"Nissan Terrano II - R20 Series",0,"Diesel","2.7 Turbo Diesel 5 door","Car"
"Nissan Tino",0,"Petrol","1.8","Car"
"Nissan X - Trail Model Year 2011",0,"Diesel","2.0 dCi 150","Car"
"Nissan X - Trail, 2011",0,"Diesel","2.0 dCi 150","Car"
"Nissan X Trail",0,"Diesel","2.0 dCi 4x4 110kW","Car"
"Nissan X Trail 2007",0,"Diesel","2.5 4x4","Car"
"Nissan X-TRAIL",0,"Petrol","2.5 4x4","Car"
"Nissan X-Trail",0,"Petrol","2.5 4x4","Car"
"Nissan X-Trail 2006",0,"Petrol","2.5 4x4","Car"
"Perodua Myvi",0,"Petrol","Ezi Myvi","Car"
"Perodua Perodua",0,"Petrol","EX Nippa","Car"
"Perodua Perodua Kelisa",0,"Petrol","EX Kelisa","Car"
"Perodua Perodua Kenari",0,"Petrol","GX Kenari","Car"
"Perodua Perodua Nippa",0,"Petrol","EX Nippa","Car"
"Peugeot 1007",0,"Petrol","1.4 (75 bhp)","Car"
"Peugeot 106",0,"Petrol","1.4 (75 bhp)","Car"
"Peugeot 107",0,"Petrol","1.0 (65 bhp)","Car"
"Peugeot 107 Facelift",0,"Petrol","1.0 (68 bhp)","Car"
"Peugeot 2008",0,"Diesel","1.6 VTi 120","Car"
"Peugeot 206",0,"Petrol","1.4 (75 bhp)","Car"
"Peugeot 206 Coupé Cabriolet",0,"Petrol","1.6 (110 bhp)","Car"
"Peugeot 206 SW",0,"Petrol","1.4 (75 bhp)","Car"
"Peugeot 207",0,"Petrol","1.6 VTi (120 bhp)","Car"
"Peugeot 207 CC",0,"Petrol","1.6 HDi 112 Active","Car"
"Peugeot 207 Coupé Cabriolet",0,"Petrol","1.6 VTi (120 bhp)","Car"
"Peugeot 207 Coupé Cabriolet From August 2009 onwards",0,"Petrol","1.6 VTi (120 bhp)","Car"
"Peugeot 207 Coupé Cabriolet, From August 2009 onwards",0,"Petrol","1.6 VTi (120 bhp)","Car"
"Peugeot 207 From August 2009 onwards",0,"Petrol","1.4 VTi (95 bhp) Energy Saver Tyres","Car"
"Peugeot 207 Hatchback",0,"Petrol","1.4 75 3 door","Car"
"Peugeot 207 SW",0,"Petrol","1.6 VTi (120 bhp)","Car"
"Peugeot 207 SW From August 2009 onwards",0,"Petrol","1.4 VTi (95 bhp) Energy Saver Tyres","Car"
"Peugeot 207 SW OUTDOOR",0,"Diesel","1.6 HDi FAP (110 bhp)","Car"
"Peugeot 207 SW OUTDOOR From August 2009 onwards",0,"Diesel","1.6 HDi FAP (110 bhp)","Car"
"Peugeot 207 SW Outdoor",0,"Diesel","1.6 HDi FAP (110 bhp)","Car"
"Peugeot 207 SW, From August 2009 onwards",0,"Petrol","1.6 VTi (120 bhp) Energy Saver Tyres","Car"
"Peugeot 207, From August 2009 onwards",0,"Diesel","1.4 VTi (95 bhp) Energy Saver Tyres","Car"
"Peugeot 208 Hatch",0,"Petrol","1.4 HDi 70 3 door","Car"
"Peugeot 208 Hatchback",0,"Petrol","1.4 HDi 70 3 door","Car"
"Peugeot 3008",0,"Diesel","1.6 HDi FAP (110 bhp)","Car"
"Peugeot 3008, From October 2009 onwards",0,"Diesel","1.6 THP (156 bhp)","Car"
"Peugeot 306",0,"Petrol","1.6 (100 bhp)","Car"
"Peugeot 307",0,"Petrol","1.6 (110 bhp)","Car"
"Peugeot 307 Coupé Cabriolet",0,"Petrol","1.6 (110 bhp)","Car"
"Peugeot 307 Estate / SW",0,"Diesel","1.6 (110 bhp)","Car"
"Peugeot 308",0,"Diesel","2.0 HDi FAP (136 bhp)","Car"
"Peugeot 308 CC",0,"Petrol","1.6 THP 156","Car"
"Peugeot 308 Coupé Cabriolet",0,"Petrol","2.0 HDi FAP (140 bhp)","Car"
"Peugeot 308 Estate / SW",0,"Petrol","1.6 VTi (120 bhp) SW Cielo Roof","Car"
"Peugeot 308 Hatchback",0,"Diesel","1.6 THP 156","Car"
"Peugeot 308 SW",0,"Diesel","1.6 THP 156","Car"
"Peugeot 308 SW 5 seat",0,"Diesel","1.6 VTi (120 bhp)","Car"
"Peugeot 308 SW 7 seat",0,"Diesel","1.6 e-HDi FAP (112 bhp) Energy Saver Tyres","Car"
"Peugeot 4007",0,"Diesel","2.2 HDi (156 bhp)","Car"
"Peugeot 406 Coupé",0,"Petrol","3.0 V6 (210 bhp)","Car"
"Peugeot 406 Estate",0,"Petrol","3.0 V6 (210 bhp)","Car"
"Peugeot 406 Saloon",0,"Petrol","3.0 V6 (210 bhp)","Car"
"Peugeot 407 Coupé",0,"Petrol","2.2 (163 bhp)","Car"
"Peugeot 407 SW",0,"Diesel","2.0 HDi FAP (136 bhp)","Car"
"Peugeot 407 Saloon",0,"Diesel","2.0 HDi FAP (136 bhp)","Car"
"Peugeot 5008",0,"Diesel","1.6 HDi FAP (110 bhp)","Car"
"Peugeot 5008, From February 2010 onwards",0,"Diesel","1.6 HDi FAP (110 bhp)","Car"
"Peugeot 508 RXH",0,"Diesel Electric","HYbrid4 200","Car"
"Peugeot 508 SW",0,"Diesel","1.6 THP 156","Car"
"Peugeot 508 SW, From April 2011 onwards",0,"Diesel","2.0 HDi FAP (163 bhp)","Car"
"Peugeot 508 Saloon",0,"Diesel","1.6 THP 156","Car"
"Peugeot 508 Saloon, from April 2011 onwards",0,"Diesel","2.0 HDi FAP (163 bhp)","Car"
"Peugeot 607",0,"Petrol","2.2 HDi FAP (136 bhp)","Car"
"Peugeot 806",0,"Petrol","2.0 (139 bhp)","Car"
"Peugeot 807",0,"Diesel","2.0 (143 bhp)","Car"
"Peugeot BIPPER TEPEE",0,"Diesel","1.3 HDi 75","Car"
"Peugeot Bipper Tepee From September 2009 onwards",0,"Diesel","1.4 HDi (70 bhp)","Car"
"Peugeot Bipper Tepee, From September 2009 onwards",0,"Diesel","1.4 HDi (70 bhp)","Car"
"Peugeot EXPERT TEPEE",0,"Diesel","2.0 HDi 163 Automatic","Car"
"Peugeot Expert",0,"Diesel","2.0 Hdi Turbo 110 bhp Expert Combi","Car"
"Peugeot Expert Combi",0,"Diesel","2.0 HDi 16v (110 bhp)","Car"
"Peugeot Expert Tepee",0,"Diesel","1.6 HDi (90 bhp) Comfort L1 5/6 Seats","Car"
"Peugeot Expert Tepee From January 2010 onwards",0,"Diesel","1.6 HDi (90 bhp) Comfort L2 8/9 Seats","Car"
"Peugeot NEW PARTNER TEPEE",0,"Diesel","1.6 HDi 92","Car"
"Peugeot New 107 April 2012 onwards",0,"Petrol","1.0i 68 3 door","Car"
"Peugeot New Partner Combi",0,"Diesel","1.4 (75 bhp)","Car"
"Peugeot Partner",0,"Diesel","1.9 D 70 bhp Partner Combi","Car"
"Peugeot Partner Combi",0,"Diesel","1.9 D (70 bhp)","Car"
"Peugeot Partner Tepee",0,"Diesel","1.6 (120 bhp)","Car"
"Peugeot RCZ",0,"Petrol","1.6 THP 156","Car"
"Peugeot RCZ, From May 2010 onwards",0,"Petrol","1.6 THP (156 bhp)","Car"
"Porsche 911",0,"Petrol","Carrera 4 Gen II Cabriolet 6-Speed","Car"
"Porsche 911 (Type 996)",0,"Petrol","911 Carrera 4S Cabriolet","Car"
"Porsche 911 (Type 997)",0,"Petrol","911 Carrera Cabriolet","Car"
"Porsche 911 Targa",0,"Petrol","911 Targa","Car"
"Porsche All Models",0,"Petrol","911 Carrera 4 Cabriolet","Car"
"Porsche Boxster",0,"Petrol","2.9","Car"
"Porsche Boxster (Type 987)",0,"Petrol","Boxster","Car"
